iter	Passed	Remaining
914	1452	134
915	1453	133
916	1455	131
917	1456	130
918	1457	128
919	1459	126
920	1460	125
921	1462	123
922	1463	122
923	1464	120
924	1465	118
925	1466	117
926	1468	115
927	1469	114
928	1470	112
929	1472	110
930	1473	109
931	1475	107
932	1476	106
933	1477	104
934	1479	102
935	1480	101
936	1481	99
937	1483	98
938	1484	96
939	1486	94
940	1487	93
941	1494	91
942	1495	90
943	1496	88
944	1498	87
945	1499	85
946	1500	83
947	1502	82
948	1503	80
949	1504	79
950	1506	77
951	1507	76
952	1508	74
953	1510	72
954	1511	71
955	1512	69
956	1514	68
957	1515	66
958	1517	64
959	1518	63
960	1520	61
961	1521	60
962	1522	58
963	1524	56
964	1525	55
965	1526	53
966	1527	52
967	1529	50
968	1530	48
969	1532	47
970	1533	45
971	1535	44
972	1536	42
973	1537	41
974	1538	39
975	1540	37
976	1541	36
977	1543	34
978	1544	33
979	1545	31
980	1546	29
981	1548	28
982	1549	26
983	1551	25
984	1552	23
985	1553	22
986	1554	20
987	1555	18
988	1557	17
989	1558	15
990	1559	14
991	1561	12
992	1562	11
993	1564	9
994	1565	7
995	1567	6
996	1568	4
997	1569	3
998	1570	1
999	1572	0
